cid,complexity,inchi,isosmiles,canonicalsmiles,inchikey,iupacname,Melting Point 1
12444612,593,"InChI=1S/C21H34O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-16,18,22-24,26H,3-11H2,1-2H3/t12-,13-,14-,15-,16-,18+,19-,20-,21-/m0/s1",C[C@]12CC[C@@H](C[C@@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O)O,CC12CCC(CC1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O)O,AODPIQQILQLWGS-VSJLKEFSSA-N,"2-hydroxy-1-[(3S,5S,8S,9S,10S,11S,13S,14S,17R)-3,11,17-trihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-yl]ethanone",215 °C
13473703,593,"InChI=1S/C21H22O9/c22-9-17-18(25)19(26)20(27)21(30-17)28-12-5-6-13-14(24)8-15(29-16(13)7-12)10-1-3-11(23)4-2-10/h1-7,15,17-23,25-27H,8-9H2",C1C(OC2=C(C1=O)C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O,C1C(OC2=C(C1=O)C=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O,HJBUYKZTEBZNSH-UHFFFAOYSA-N,"2-(4-hydroxyphenyl)-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,3-dihydrochromen-4-one",164 - 166 °C
14604077,593,"InChI=1S/C20H18O6/c1-10(2)3-5-12-15(22)8-17(24)18-19(25)13(9-26-20(12)18)11-4-6-14(21)16(23)7-11/h3-4,6-9,21-24H,5H2,1-2H3",CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=CO2)C3=CC(=C(C=C3)O)O)C,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=CO2)C3=CC(=C(C=C3)O)O)C,WSOHPJFMARQRFD-UHFFFAOYSA-N,"3-(3,4-dihydroxyphenyl)-5,7-dihydroxy-8-(3-methylbut-2-enyl)chromen-4-one",189 - 192 °C
14604081,593,"InChI=1S/C20H18O6/c1-10(2)3-5-12-14(22)8-18-19(20(12)25)16(24)9-17(26-18)11-4-6-13(21)15(23)7-11/h3-4,6-9,21-23,25H,5H2,1-2H3",CC(=CCC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)C,CC(=CCC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC(=C(C=C3)O)O)O)C,AFJYQKPCJLMHCC-UHFFFAOYSA-N,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-(3-methylbut-2-enyl)chromen-4-one",245 - 248 °C
74819383,593,"InChI=1S/C21H22O9/c1-27-11-4-2-10(3-5-11)16-8-14(23)18-13(22)6-12(7-17(18)30-16)29-21-20(26)19(25)15(24)9-28-21/h2-7,15-16,19-22,24-26H,8-9H2,1H3",COC1=CC=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(CO4)O)O)O)O,COC1=CC=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(CO4)O)O)O)O,CNNUKFIXGVQJSF-UHFFFAOYSA-N,"5-hydroxy-2-(4-methoxyphenyl)-7-(3,4,5-trihydroxyoxan-2-yl)oxy-2,3-dihydrochromen-4-one",140 - 142 °C
102219164,593,"InChI=1S/C23H23NO2/c1-15(2)7-6-11-23(3)12-10-18-21-19(13-16(14-25)22(18)26-23)17-8-4-5-9-20(17)24-21/h4-5,7-10,12-14,24H,6,11H2,1-3H3",CC(=CCCC1(C=CC2=C(O1)C(=CC3=C2NC4=CC=CC=C43)C=O)C)C,CC(=CCCC1(C=CC2=C(O1)C(=CC3=C2NC4=CC=CC=C43)C=O)C)C,VEZSSHVWEILOAM-UHFFFAOYSA-N,"3-methyl-3-(4-methylpent-3-enyl)-11H-pyrano[3,2-a]carbazole-5-carbaldehyde",105 °C
131752054,593,"InChI=1S/C22H36O4/c1-8-14(2)10-11-16-21(6)13-9-12-20(4,5)18(21)17(26-15(3)23)19(24)22(16,7)25/h8,10,16-19,24-25H,1,9,11-13H2,2-7H3/b14-10-",C/C(=C/CC1C2(CCCC(C2C(C(C1(C)O)O)OC(=O)C)(C)C)C)/C=C,CC(=CCC1C2(CCCC(C2C(C(C1(C)O)O)OC(=O)C)(C)C)C)C=C,COFSRJDBTTZNBZ-UVTDQMKNSA-N,"[2,3-dihydroxy-3,4a,8,8-tetramethyl-4-[(2Z)-3-methylpenta-2,4-dienyl]-2,4,5,6,7,8a-hexahydro-1H-naphthalen-1-yl] acetate",173 - 174 °C
131752055,593,"InChI=1S/C22H36O4/c1-8-14(2)10-11-16-21(6)13-9-12-20(4,5)18(21)17(24)19(22(16,7)25)26-15(3)23/h8,10,16-19,24-25H,1,9,11-13H2,2-7H3/b14-10-",C/C(=C/CC1C2(CCCC(C2C(C(C1(C)O)OC(=O)C)O)(C)C)C)/C=C,CC(=CCC1C2(CCCC(C2C(C(C1(C)O)OC(=O)C)O)(C)C)C)C=C,IEAUFJOLHRNYMW-UVTDQMKNSA-N,"[1,3-dihydroxy-3,4a,8,8-tetramethyl-4-[(2Z)-3-methylpenta-2,4-dienyl]-2,4,5,6,7,8a-hexahydro-1H-naphthalen-2-yl] acetate",148 - 149 °C
5845,592,"InChI=1S/C12H24N9P3/c1-2-16(1)22(17-3-4-17)13-23(18-5-6-18,19-7-8-19)15-24(14-22,20-9-10-20)21-11-12-21/h1-12H2",C1CN1P2(=NP(=NP(=N2)(N3CC3)N4CC4)(N5CC5)N6CC6)N7CC7,C1CN1P2(=NP(=NP(=N2)(N3CC3)N4CC4)(N5CC5)N6CC6)N7CC7,PXZAWHSJYIECNQ-UHFFFAOYSA-N,"2,2,4,4,6,6-hexakis(aziridin-1-yl)-1,3,5-triaza-2lambda5,4lambda5,6lambda5-triphosphacyclohexa-1,3,5-triene",147.5 °C (CRYSTALLIZED FROM HEPTANE); 154-154.5 °C (CRYSTALLIZED FROM ETHYLACETATE)
17012,592,"InChI=1S/C23H25F3N2OS/c24-23(25,26)17-7-8-22-20(16-17)18(19-4-1-2-6-21(19)30-22)5-3-9-27-10-12-28(13-11-27)14-15-29/h1-2,4-8,16,29H,3,9-15H2",C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,NJMYODHXAKYRHW-UHFFFAOYSA-N,2-[4-[3-[2-(trifluoromethyl)thioxanthen-9-ylidene]propyl]piperazin-1-yl]ethanol,233-234
107760,592,"InChI=1S/C24H27N3O4/c1-17-21(22(27(5)26-17)30-20-9-7-6-8-10-20)15-25-29-16-18-11-13-19(14-12-18)23(28)31-24(2,3)4/h6-15H,16H2,1-5H3",CC1=NN(C(=C1C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,CC1=NN(C(=C1C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,YYJNOYZRYGDPNH-UHFFFAOYSA-N,"tert-butyl 4-[[(1,3-dimethyl-5-phenoxypyrazol-4-yl)methylideneamino]oxymethyl]benzoate",101.1 to 102.4 °C
5281878,592,"InChI=1S/C23H25F3N2OS/c24-23(25,26)17-7-8-22-20(16-17)18(19-4-1-2-6-21(19)30-22)5-3-9-27-10-12-28(13-11-27)14-15-29/h1-2,4-8,16,29H,3,9-15H2/b18-5+",C1CN(CCN1CC/C=C/2\C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,NJMYODHXAKYRHW-BLLMUTORSA-N,2-[4-[(3E)-3-[2-(trifluoromethyl)thioxanthen-9-ylidene]propyl]piperazin-1-yl]ethanol,233-234
5281881,592,"InChI=1S/C23H25F3N2OS/c24-23(25,26)17-7-8-22-20(16-17)18(19-4-1-2-6-21(19)30-22)5-3-9-27-10-12-28(13-11-27)14-15-29/h1-2,4-8,16,29H,3,9-15H2/b18-5-",C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,NJMYODHXAKYRHW-DVZOWYKESA-N,2-[4-[(3Z)-3-[2-(trifluoromethyl)thioxanthen-9-ylidene]propyl]piperazin-1-yl]ethanol,233-234
6002001,592,"InChI=1S/C24H27N3O4/c1-17-21(22(27(5)26-17)30-20-9-7-6-8-10-20)15-25-29-16-18-11-13-19(14-12-18)23(28)31-24(2,3)4/h6-15H,16H2,1-5H3/b25-15-",CC1=NN(C(=C1/C=N\OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,CC1=NN(C(=C1C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,YYJNOYZRYGDPNH-MYYYXRDXSA-N,"tert-butyl 4-[[(Z)-(1,3-dimethyl-5-phenoxypyrazol-4-yl)methylideneamino]oxymethyl]benzoate",101.1 to 102.4 °C
9576412,592,"InChI=1S/C24H27N3O4/c1-17-21(22(27(5)26-17)30-20-9-7-6-8-10-20)15-25-29-16-18-11-13-19(14-12-18)23(28)31-24(2,3)4/h6-15H,16H2,1-5H3/b25-15+",CC1=NN(C(=C1/C=N/OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,CC1=NN(C(=C1C=NOCC2=CC=C(C=C2)C(=O)OC(C)(C)C)OC3=CC=CC=C3)C,YYJNOYZRYGDPNH-MFKUBSTISA-N,"tert-butyl 4-[[(E)-(1,3-dimethyl-5-phenoxypyrazol-4-yl)methylideneamino]oxymethyl]benzoate",101.1 to 102.4 °C
12310056,592,"InChI=1S/C21H30O11/c1-3-4-10-5-6-12(13(7-10)28-2)31-21-19(27)17(25)16(24)14(32-21)9-30-20-18(26)15(23)11(22)8-29-20/h3,5-7,11,14-27H,1,4,8-9H2,2H3",COC1=C(C=CC(=C1)CC=C)OC2C(C(C(C(O2)COC3C(C(C(CO3)O)O)O)O)O)O,COC1=C(C=CC(=C1)CC=C)OC2C(C(C(C(O2)COC3C(C(C(CO3)O)O)O)O)O)O,FSCNUJMKSQHQSY-UHFFFAOYSA-N,"2-(2-methoxy-4-prop-2-enylphenoxy)-6-[(3,4,5-trihydroxyoxan-2-yl)oxymethyl]oxane-3,4,5-triol",183 - 184 °C
131752850,592,"InChI=1S/C22H24O8/c1-11-19(24)20(25)21(26)22(28-11)29-14-7-8-15-16(23)10-17(30-18(15)9-14)12-3-5-13(27-2)6-4-12/h3-9,11,17,19-22,24-26H,10H2,1-2H3",CC1C(C(C(C(O1)OC2=CC3=C(C=C2)C(=O)CC(O3)C4=CC=C(C=C4)OC)O)O)O,CC1C(C(C(C(O1)OC2=CC3=C(C=C2)C(=O)CC(O3)C4=CC=C(C=C4)OC)O)O)O,NWKQVQSCGKFWMB-UHFFFAOYSA-N,"2-(4-methoxyphenyl)-7-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-2,3-dihydrochromen-4-one",300 °C
5997,591,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1",C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C,HVYWMOMLDIMFJA-DPAQBDIFSA-N,"(3S,8S,9S,10R,13R,14S,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",148.5°C
54382,591,"InChI=1S/C17H14ClF7O2/c1-6-11(19)13(21)7(14(22)12(6)20)5-27-15(26)10-8(16(10,2)3)4-9(18)17(23,24)25/h4,8,10H,5H2,1-3H3",CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F,CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F,ZFHGXWPMULPQSE-UHFFFAOYSA-N,"(2,3,5,6-tetrafluoro-4-methylphenyl)methyl 3-(2-chloro-3,3,3-trifluoroprop-1-enyl)-2,2-dimethylcyclopropane-1-carboxylate",44.6 °C
65728,591,"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h10,18-21,23-25,28H,6-9,11-17H2,1-5H3/t19-,20+,21+,23-,24+,25+,26+,27-/m1/s1",C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C,CC(C)CCCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCC(C4)O)C)C,IZVFFXVYBHFIHY-SKCNUYALSA-N,"(3S,5S,9R,10S,13R,14R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,5,6,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",122.0 °C
5281874,591,"InChI=1S/C17H14ClF7O2/c1-6-11(19)13(21)7(14(22)12(6)20)5-27-15(26)10-8(16(10,2)3)4-9(18)17(23,24)25/h4,8,10H,5H2,1-3H3/b9-4-",CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)/C=C(/C(F)(F)F)\Cl)F)F,CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F,ZFHGXWPMULPQSE-WTKPLQERSA-N,"(2,3,5,6-tetrafluoro-4-methylphenyl)methyl 3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",44.6 °C
10548300,591,"InChI=1S/C20H20O8/c1-23-13-7-6-10-16(22)20(27-5)18(28-17(10)19(13)26-4)11-8-14(24-2)15(25-3)9-12(11)21/h6-9,21H,1-5H3",COC1=C(C2=C(C=C1)C(=O)C(=C(O2)C3=CC(=C(C=C3O)OC)OC)OC)OC,COC1=C(C2=C(C=C1)C(=O)C(=C(O2)C3=CC(=C(C=C3O)OC)OC)OC)OC,ILFIBHRYVRDHNZ-UHFFFAOYSA-N,"2-(2-hydroxy-4,5-dimethoxyphenyl)-3,7,8-trimethoxychromen-4-one",183.5 - 184 °C
11350631,591,"InChI=1S/C17H14ClF7O2/c1-6-11(19)13(21)7(14(22)12(6)20)5-27-15(26)10-8(16(10,2)3)4-9(18)17(23,24)25/h4,8,10H,5H2,1-3H3/b9-4-/t8-,10-/m0/s1",CC1=C(C(=C(C(=C1F)F)COC(=O)[C@@H]2[C@@H](C2(C)C)/C=C(/C(F)(F)F)\Cl)F)F,CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F,ZFHGXWPMULPQSE-UKSCLKOJSA-N,"(2,3,5,6-tetrafluoro-4-methylphenyl)methyl (1R,3R)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",44.6 °C
11534837,591,"InChI=1S/C17H14ClF7O2/c1-6-11(19)13(21)7(14(22)12(6)20)5-27-15(26)10-8(16(10,2)3)4-9(18)17(23,24)25/h4,8,10H,5H2,1-3H3/b9-4-/t8-,10-/m1/s1",CC1=C(C(=C(C(=C1F)F)COC(=O)[C@H]2[C@H](C2(C)C)/C=C(/C(F)(F)F)\Cl)F)F,CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F,ZFHGXWPMULPQSE-SZGBIDFHSA-N,"(2,3,5,6-tetrafluoro-4-methylphenyl)methyl (1S,3S)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",44.6 °C
12311234,591,"InChI=1S/C18H16O9/c1-24-9-6-7(4-5-8(9)19)15-13(22)11(20)10-12(21)17(25-2)14(23)18(26-3)16(10)27-15/h4-6,19,21-23H,1-3H3",COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C(=C3O2)OC)O)OC)O)O)O,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C(=C(C(=C3O2)OC)O)OC)O)O)O,LCKHNFJHVWUHTR-UHFFFAOYSA-N,"3,5,7-trihydroxy-2-(4-hydroxy-3-methoxyphenyl)-6,8-dimethoxychromen-4-one",221 - 222 °C
16722118,591,"InChI=1S/C17H14ClF7O2/c1-6-11(19)13(21)7(14(22)12(6)20)5-27-15(26)10-8(16(10,2)3)4-9(18)17(23,24)25/h4,8,10H,5H2,1-3H3/b9-4-/t8?,10-/m0/s1",CC1=C(C(=C(C(=C1F)F)COC(=O)[C@@H]2C(C2(C)C)/C=C(/C(F)(F)F)\Cl)F)F,CC1=C(C(=C(C(=C1F)F)COC(=O)C2C(C2(C)C)C=C(C(F)(F)F)Cl)F)F,ZFHGXWPMULPQSE-GPCIZFCYSA-N,"(2,3,5,6-tetrafluoro-4-methylphenyl)methyl (1R)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]-2,2-dimethylcyclopropane-1-carboxylate",44.6 °C
122201415,591,"InChI=1S/C21H22O5/c1-14(6-9-21(2,3)13-22)7-10-25-20-15-4-5-19(23)26-18(15)12-17-16(20)8-11-24-17/h4-5,7-8,11-13H,6,9-10H2,1-3H3/b14-7+",C/C(=C\COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)/CCC(C)(C)C=O,CC(=CCOC1=C2C=CC(=O)OC2=CC3=C1C=CO3)CCC(C)(C)C=O,JBBNVKWFZYFPIG-VGOFMYFVSA-N,"(E)-2,2,5-trimethyl-7-(7-oxofuro[3,2-g]chromen-4-yl)oxyhept-5-enal",134 - 136 °C
131752868,591,"InChI=1S/C21H22O9/c22-10-15-17(24)18(25)19(26)21(30-15)29-14-9-13(23)8-12(16(14)20(27)28)7-6-11-4-2-1-3-5-11/h1-9,15,17-19,21-26H,10H2,(H,27,28)/b7-6+/t15-,17-,18+,19-,21-/m1/s1",C1=CC=C(C=C1)/C=C/C2=C(C(=CC(=C2)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)O,C1=CC=C(C=C1)C=CC2=C(C(=CC(=C2)O)OC3C(C(C(C(O3)CO)O)O)O)C(=O)O,GQIUCJBQLDCVPS-BNVRZUOOSA-N,"4-hydroxy-2-[(E)-2-phenylethenyl]-6-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzoic acid",235 - 236 °C
3403,590,"InChI=1S/C24H26FNO4/c1-15(2)26-21-6-4-3-5-20(21)24(16-7-9-17(25)10-8-16)22(26)12-11-18(27)13-19(28)14-23(29)30/h3-12,15,18-19,27-28H,13-14H2,1-2H3,(H,29,30)",CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,FJLGEFLZQAZZCD-UHFFFAOYSA-N,"7-[3-(4-fluorophenyl)-1-propan-2-ylindol-2-yl]-3,5-dihydroxyhept-6-enoic acid",194-197 °C
11273,590,"InChI=1S/C19H26O3/c1-18-10-8-15(20)17(22)14(18)4-3-11-12-5-6-16(21)19(12,2)9-7-13(11)18/h11-13,22H,3-10H2,1-2H3/t11-,12-,13-,18+,19-/m0/s1",C[C@]12CCC(=O)C(=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O,OSVMTWJCGUFAOD-KZQROQTASA-N,"(8R,9S,10R,13S,14S)-4-hydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",199- 202
